2000;-0.014982465;-0.003319228;0.398645477
1999;-0.019388769;0.003481809;0.398173504
1998;-0.022072295;0.009973472;0.397913533
1997;-0.022794601;0.015578948;0.397871656
1996;-0.021491507;0.019800166;0.398048857
1995;-0.018278798;0.022262052;0.398440981
1994;-0.013441938;0.022745858;0.399038837
1993;-0.007410702;0.021208594;0.399828412
1992;-0.000720994;0.017786853;0.400791199
1991;0.006032779;0.012784673;0.40190463
1990;0.012250512;0.006646518;0.40314261
1989;0.017379734;-8.22E-05;0.404476119
1988;0.02096469;-0.006803632;0.405873901
1987;0.022686841;-0.012920521;0.407303195
1986;0.022393167;-0.017889366;0.408730498
1985;0.020109762;-0.021268663;0.410122355
1984;0.016039516;-0.022758145;0.411446144
1983;0.010544089;-0.022225466;0.412670834
1982;0.004111773;-0.019717957;0.413767721
1981;-0.002685892;-0.015458421;0.414711094
1980;-0.009244903;-0.009825336;0.415478842
1979;-0.014982465;-0.003319228;0.416052969
1978;-0.019388769;0.003481809;0.416420018
1977;-0.022072295;0.009973472;0.416571385
1976;-0.022794601;0.015578948;0.416503524
1975;-0.021491507;0.019800166;0.416218024
1974;-0.018278798;0.022262052;0.415721578
1973;-0.013441938;0.022745858;0.415025821
1972;-0.007410702;0.021208594;0.414147061
1971;-0.000720994;0.017786853;0.413105897
1970;0.006032779;0.012784673;0.411926732
1969;0.012250512;0.006646518;0.410637204
1968;0.017379734;-8.22E-05;0.409267539
1967;0.02096469;-0.006803632;0.407849841
1966;0.022686841;-0.012920521;0.40641734
1965;0.022393167;-0.017889366;0.405003611
1964;0.020109762;-0.021268663;0.403641792
1963;0.016039516;-0.022758145;0.402363803
1962;0.010544089;-0.022225466;0.401199599
1961;0.004111773;-0.019717957;0.400176467
1960;-0.002685892;-0.015458421;0.399318388
1959;-0.009244903;-0.009825336;0.398645477
1958;-0.014982465;-0.003319228;0.398173504
1957;-0.019388769;0.003481809;0.397913533
1956;-0.022072295;0.009973472;0.397871656
1955;-0.022794601;0.015578948;0.398048857
1954;-0.021491507;0.019800166;0.398440981
1953;-0.018278798;0.022262052;0.399038837
1952;-0.013441938;0.022745858;0.399828412
1951;-0.007410702;0.021208594;0.400791199
1950;-0.000720994;0.017786853;0.40190463
1949;0.006032779;0.012784673;0.40314261
1948;0.012250512;0.006646518;0.404476119
1947;0.017379734;-8.22E-05;0.405873901
1946;0.02096469;-0.006803632;0.407303195
1945;0.022686841;-0.012920521;0.408730498
1944;0.022393167;-0.017889366;0.410122355
1943;0.020109762;-0.021268663;0.411446144
1942;0.016039516;-0.022758145;0.412670834
1941;0.010544089;-0.022225466;0.413767721
1940;0.004111773;-0.019717957;0.414711094
1939;-0.002685892;-0.015458421;0.415478842
1938;-0.009244903;-0.009825336;0.416052969
1937;-0.014982465;-0.003319228;0.416420018
1936;-0.019388769;0.003481809;0.416571385
1935;-0.022072295;0.009973472;0.416503524
1934;-0.022794601;0.015578948;0.416218024
1933;-0.021491507;0.019800166;0.415721578
1932;-0.018278798;0.022262052;0.415025821
1931;-0.013441938;0.022745858;0.414147061
1930;-0.007410702;0.021208594;0.413105897
1929;-0.000720994;0.017786853;0.411926732
1928;0.006032779;0.012784673;0.410637204
1927;0.012250512;0.006646518;0.409267539
1926;0.017379734;-8.22E-05;0.407849841
1925;0.02096469;-0.006803632;0.40641734
1924;0.022686841;-0.012920521;0.405003611
1923;0.022393167;-0.017889366;0.403641792
1922;0.020109762;-0.021268663;0.402363803
1921;0.016039516;-0.022758145;0.401199599
1920;0.010544089;-0.022225466;0.400176467
1919;0.004111773;-0.019717957;0.399318388
1918;-0.002685892;-0.015458421;0.398645477
1917;-0.009244903;-0.009825336;0.398173504
1916;-0.014982465;-0.003319228;0.397913533
1915;-0.019388769;0.003481809;0.397871656
1914;-0.022072295;0.009973472;0.398048857
1913;-0.022794601;0.015578948;0.398440981
1912;-0.021491507;0.019800166;0.399038837
1911;-0.018278798;0.022262052;0.399828412
1910;-0.013441938;0.022745858;0.400791199
1909;-0.007410702;0.021208594;0.40190463
1908;-0.000720994;0.017786853;0.40314261
1907;0.006032779;0.012784673;0.404476119
1906;0.012250512;0.006646518;0.405873901
1905;0.017379734;-8.22E-05;0.407303195
1904;0.02096469;-0.006803632;0.408730498
1903;0.022686841;-0.012920521;0.410122355
